iter	Passed	Remaining
411	3582	83365
412	3590	83352
413	3599	83339
414	3607	83325
415	3616	83319
416	3624	83305
417	3633	83291
418	3642	83279
419	3650	83267
420	3659	83260
421	3667	83248
422	3676	83238
423	3684	83225
424	3694	83229
425	3702	83213
426	3710	83194
427	3718	83166
428	3726	83138
429	3734	83113
430	3742	83092
431	3750	83066
432	3758	83039
433	3766	83012
434	3774	82987
435	3782	82965
436	3789	82935
437	3797	82908
438	3805	82881
439	3813	82862
440	3822	82853
441	3830	82838
442	3839	82821
443	3847	82801
444	3855	82777
445	3863	82762
446	3871	82744
447	3880	82727
448	3887	82704
449	3896	82686
450	3904	82675
451	3912	82656
452	3921	82639
453	3929	82623
454	3938	82628
455	3947	82613
456	3955	82596
457	3963	82580
458	3971	82559
459	3980	82542
460	3988	82528
461	3996	82509
462	4004	82489
463	4013	82475
464	4021	82458
465	4030	82451
466	4038	82431
467	4046	82414
468	4054	82399
469	4062	82380
470	4071	82370
471	4079	82359
472	4088	82343
473	4096	82326
474	4104	82302
475	4112	82293
476	4121	82280
477	4129	82264
478	4138	82250
479	4146	82233
480	4154	82224
481	4163	82208
482	4171	82192
483	4179	82178
484	4188	82164
485	4196	82157
486	4205	82143
487	4213	82124
488	4221	82108
489	4229	82091
490	4238	82079
491	4246	82061
492	4254	82043
493	4262	82029
494	4271	82014
495	4279	82005
496	4288	81991
497	4296	81972
498	4304	81957
499	4312	81939
500	4321	81927
501	4329	81908
502	4337	81896
503	4345	81879
504	4354	81868
505	4363	81863
506	4371	81850
507	4379	81838
508	4388	81827
509	4396	81813
510	4405	81803
511	4413	81788
512	4421	81775
513	4430	81762
514	4438	81743
515	4447	81736
516	4455	81720
517	4463	81708
518	4472	81696
519	4480	81680
520	4488	81666
521	4497	81653
522	4505	81638
523	4513	81623
524	4521	81610
525	4530	81597
526	4538	81586
527	4547	81570
528	4555	81552
529	4563	81537
530	4571	81526
531	4580	81510
532	4588	81495
533	4596	81481
534	4604	81464
535	4613	81450
536	4621	81439
537	4629	81425
538	4637	81405
539	4645	81388
540	4654	81377
541	4662	81362
542	4670	81344
543	4678	81331
544	4687	81314
545	4695	81299
546	4703	81277
547	4710	81255
548	4718	81231
549	4726	81216
550	4735	81207
551	4743	81192
552	4752	81195
553	4761	81181
554	4769	81164
555	4777	81155
556	4786	81146
557	4794	81132
558	4802	81116
559	4811	81100
560	4818	81080
561	4826	81060
562	4834	81043
563	4843	81026
564	4851	81010
565	4859	80998
566	4867	80980
567	4876	80972
568	4884	80956
569	4892	80944
570	4901	80936
571	4909	80919
572	4917	80906
573	4925	80892
574	4934	80885
575	4943	80880
576	4952	80874
577	4960	80865
578	4969	80858
579	4978	80854
580	4987	80849
581	4995	80842
582	5004	80836
583	5013	80826
584	5021	80818
585	5030	80813
586	5039	80805
587	5047	80798
588	5056	80788
589	5064	80778
590	5073	80775
591	5082	80765
592	5090	80758
593	5099	80750
594	5108	80745
595	5117	80741
596	5125	80731
597	5134	80724
598	5142	80711
599	5151	80702
600	5160	80697
601	5168	80689
602	5177	80682
603	5185	80674
604	5194	80666
605	5203	80663
606	5212	80655
607	5220	80645
608	5229	80634
609	5237	80625
610	5246	80621
611	5255	80613
612	5263	80604
613	5272	80595
614	5280	80587
615	5289	80585
616	5298	80575
617	5306	80566
618	5315	80557
619	5324	80549
620	5333	80545
621	5341	80536
622	5350	80527
623	5358	80518
624	5367	80510
625	5376	80508
626	5384	80498
627	5393	80489
628	5402	80481
629	5410	80470
630	5419	80465
631	5428	80458
632	5436	80448
633	5444	80436
634	5453	80428
635	5462	80423
636	5470	80415
637	5479	80407
638	5488	80396
639	5496	80389
640	5505	80384
641	5514	80376
642	5522	80367
643	5531	80361
644	5540	80351
645	5548	80344
646	5557	80335
647	5565	80327
648	5574	80323
649	5583	80317
650	5592	80311
651	5600	80302
652	5609	80292
653	5617	80283
654	5626	80270
655	5635	80264
656	5643	80255
657	5652	80245
658	5660	80238
659	5669	80228
660	5677	80221
661	5686	80211
662	5694	80202
663	5703	80189
664	5711	80181
665	5720	80174
666	5729	80165
667	5737	80154
668	5746	80146
669	5754	80135
670	5763	80128
671	5771	80117
672	5780	80106
673	5788	80095
674	5797	80085
675	5805	80077
676	5814	80066
677	5822	80055
678	5830	80045
679	5839	80035
680	5848	80028
681	5856	80017
682	5865	80006
683	5873	79994
684	5881	79985
685	5890	79981
686	5899	79968
687	5907	79960
688	5916	79952
689	5924	79941
690	5933	79935
691	5941	79924
692	5950	79915
693	5959	79906
694	5967	79899
695	5976	79894
696	5985	79883
697	5993	79876
698	6002	79867
699	6010	79858
700	6020	79865
701	6029	79857
702	6037	79849
703	6046	79842
704	6055	79832
705	6064	79829
706	6072	79820
707	6081	79811
708	6089	79801
709	6098	79791
710	6107	79799
711	6115	79780
712	6123	79762
713	6131	79743
714	6139	79726
715	6147	79711
716	6155	79690
717	6162	79669
718	6170	79651
719	6178	79633
720	6186	79616
721	6194	79597
722	6202	79583
723	6210	79568
724	6218	79553
725	6227	79544
726	6234	79527
727	6242	79507
728	6250	79490
729	6258	79478
730	6267	79465
731	6275	79451
732	6283	79434
733	6291	79420
734	6299	79404
735	6307	79392
736	6315	79379
737	6323	79366
738	6332	79352
739	6340	79337
740	6348	79326
741	6356	79312
742	6364	79298
743	6373	79287
744	6381	79271
745	6389	79259
746	6397	79245
747	6405	79230
748	6413	79217
749	6421	79200
750	6429	79187
751	6437	79172
752	6445	79158
753	6454	79143
754	6462	79129
755	6470	79118
756	6478	79103
757	6486	79088
758	6494	79077
759	6503	79064
760	6511	79057
761	6520	79044
762	6528	79031
763	6536	79019
764	6544	79007
765	6553	78998
766	6561	78984
767	6569	78970
768	6577	78960
769	6585	78944
770	6594	78936
771	6602	78925
772	6611	78913
773	6619	78902
774	6627	78888
775	6636	78881
776	6644	78868
777	6652	78858
778	6660	78845
779	6669	78832
780	6677	78825
781	6686	78814
782	6694	78802
783	6702	78790
784	6710	78776
785	6719	78767
786	6727	78755
787	6735	78745
788	6743	78730
789	6752	78719
790	6760	78709
791	6768	78697
792	6777	78687
793	6785	78675
794	6793	78661
795	6802	78651
796	6810	78638
797	6818	78624
798	6826	78611
799	6834	78600
800	6843	78589
801	6851	78578
802	6859	78565
803	6867	78552
804	6876	78541
805	6884	78532
806	6892	78521
807	6901	78509
808	6909	78495
809	6917	78483
810	6926	78475
811	6935	78476
812	6943	78466
813	6952	78455
814	6960	78442
815	6968	78433
816	6976	78420
817	6985	78407
818	6993	78399
819	7001	78386
820	7010	78375
821	7018	78361
822	7026	78350
823	7034	78339
824	7045	78352
825	7054	78349
826	7063	78342
827	7072	78340
828	7081	78337
829	7089	78324
830	7097	78317
831	7106	78305
832	7114	78292
833	7122	78280
834	7130	78268
835	7139	78258
836	7147	78244
837	7155	78233
838	7163	78218
839	7171	78204
840	7180	78196
841	7188	78183
842	7196	78171
843	7204	78158
844	7212	78145
845	7221	78137
846	7229	78125
847	7237	78112
848	7245	78098
849	7253	78086
850	7262	78077
851	7270	78063
852	7278	78051
853	7286	78040
854	7295	78029
855	7303	78020
856	7311	78006
857	7319	77993
858	7328	77980
859	7336	77969
860	7344	77961
861	7352	77948
862	7361	77935
863	7369	77922
864	7377	77909
865	7385	77900
866	7394	77890
867	7402	77878
868	7410	77865
869	7418	77853
870	7427	77844
871	7435	77831
872	7443	77817
873	7451	77804
874	7459	77792
875	7467	77781
876	7476	77769
877	7483	77753
878	7491	77737
879	7499	77721
880	7507	77711
881	7515	77698
882	7524	77685
883	7532	77674
884	7540	77664
885	7549	77655
886	7557	77645
887	7565	77633
888	7573	77622
889	7582	77611
890	7590	77602
891	7599	77592
892	7607	77579
893	7615	77568
894	7623	77556
895	7632	77547
896	7640	77536
897	7648	77526
898	7657	77517
899	7665	77509
900	7674	77501
901	7682	77491
902	7690	77478
903	7699	77468
904	7707	77458
905	7715	77448
906	7724	77440
907	7732	77431
908	7741	77420
909	7749	77409
910	7757	77401
911	7766	77388
912	7774	77378
913	7782	77367
914	7790	77355
915	7799	77348
916	7807	77336
917	7815	77324
918	7824	77315
919	7833	77310
920	7842	77309
921	7850	77298
922	7858	77286
923	7867	77274
924	7875	77263
925	7883	77254
926	7892	77244
927	7900	77234
928	7908	77224
929	7917	77213
930	7925	77204
931	7933	77191
932	7941	77180
933	7950	77169
934	7958	77158
935	7966	77149
936	7975	77139
937	7984	77135
938	7993	77135
939	8003	77137
940	8014	77158
941	8024	77158
942	8033	77161
943	8043	77165
944	8053	77166
945	8062	77165
946	8077	77218
947	8087	77228
948	8096	77223
949	8106	77223
950	8115	77223
951	8124	77215
952	8132	77207
953	8141	77202
954	8150	77195
955	8159	77190
956	8168	77183
957	8177	77178
958	8185	77170
959	8194	77160
960	8203	77157
961	8211	77146
962	8219	77137
963	8228	77128
964	8237	77122
965	8245	77115
966	8254	77103
967	8262	77093
968	8270	77084
969	8279	77073
970	8287	77062
971	8295	77050
972	8303	77037
973	8311	77026
974	8320	77014
975	8328	77003
976	8336	76994
977	8345	76982
978	8353	76974
979	8362	76965
980	8370	76958
981	8378	76946
982	8387	76936
983	8395	76925
984	8403	76913
985	8412	76902
986	8420	76889
987	8428	76877
988	8435	76861
989	8443	76847
990	8452	76839
991	8460	76825
992	8468	76813
993	8476	76801
994	8484	76789
995	8493	76785
996	8502	76776
997	8510	76768
998	8519	76759
999	8527	76751
1000	8537	76747
1001	8545	76740
1002	8554	76736
1003	8563	76726
1004	8571	76718
1005	8580	76711
1006	8588	76703
1007	8597	76696
1008	8606	76688
1009	8614	76679
1010	8623	76670
1011	8631	76658
1012	8639	76649
1013	8648	76639
1014	8656	76629
1015	8664	76619
1016	8672	76606
1017	8681	76596
1018	8689	76585
1019	8697	76574
1020	8706	76565
1021	8714	76556
1022	8722	76545
1023	8731	76534
1024	8740	76536
1025	8748	76523
1026	8756	76506
1027	8763	76488
1028	8771	76472
1029	8779	76455
1030	8787	76441
1031	8795	76429
1032	8803	76417
1033	8811	76405
1034	8819	76393
1035	8828	76385
1036	8836	76374
1037	8844	76364
1038	8853	76356
1039	8861	76347
1040	8870	76341
1041	8878	76332
1042	8887	76322
1043	8895	76313
1044	8904	76304
1045	8912	76296
1046	8921	76287
1047	8929	76278
1048	8938	76270
1049	8946	76259
1050	8955	76250
1051	8963	76239
1052	8971	76228
1053	8979	76215
1054	8987	76205
1055	8996	76195
1056	9004	76183
1057	9012	76173
1058	9020	76160
1059	9028	76147
1060	9037	76140
1061	9045	76128
1062	9053	76116
1063	9061	76103
1064	9069	76091
1065	9078	76083
1066	9086	76072
1067	9094	76060
1068	9102	76049
1069	9111	76039
1070	9119	76029
1071	9127	76017
1072	9135	76006
1073	9143	75994
1074	9152	75984
1075	9160	75974
1076	9168	75964
1077	9177	75954
1078	9185	75944
1079	9193	75932
1080	9202	75923
1081	9210	75911
1082	9218	75900
1083	9226	75890
1084	9234	75878
1085	9243	75868
1086	9251	75857
1087	9259	75846
1088	9267	75835
1089	9276	75825
1090	9284	75817
1091	9292	75807
1092	9300	75793
1093	9309	75783
1094	9317	75774
1095	9326	75767
1096	9334	75758
1097	9343	75750
1098	9351	75740
1099	9360	75731
1100	9368	75723
1101	9376	75713
1102	9385	75705
1103	9394	75697
1104	9402	75689
1105	9411	75682
1106	9419	75673
1107	9428	75664
1108	9436	75656
1109	9445	75647
1110	9453	75640
1111	9462	75630
1112	9470	75622
1113	9479	75611
1114	9487	75603
1115	9496	75597
1116	9504	75588
1117	9513	75579
1118	9521	75568
1119	9529	75555
1120	9537	75546
1121	9545	75532
1122	9553	75520
1123	9561	75508
1124	9570	75502
1125	9579	75493
1126	9587	75481
1127	9595	75469
1128	9603	75455
1129	9611	75442
1130	9619	75431
1131	9626	75416
1132	9635	75406
1133	9642	75391
1134	9651	75383
1135	9660	75377
1136	9668	75366
1137	9676	75358
1138	9685	75351
1139	9694	75342
1140	9703	75339
1141	9712	75334
1142	9720	75325
1143	9729	75317
1144	9737	75308
1145	9746	75302
1146	9754	75291
1147	9763	75283
1148	9771	75274
1149	9780	75268
1150	9789	75266
1151	9798	75258
1152	9807	75253
1153	9816	75245
1154	9824	75238
1155	9833	75233
1156	9842	75226
1157	9850	75216
1158	9859	75208
1159	9867	75200
1160	9876	75195
1161	9885	75188
1162	9894	75183
1163	9903	75176
1164	9911	75169
1165	9920	75163
1166	9931	75170
1167	9940	75167
1168	9949	75159
1169	9957	75150
1170	9966	75145
1171	9975	75137
1172	9983	75130
1173	9992	75119
1174	10000	75109
1175	10009	75105
1176	10018	75097
1177	10027	75092
1178	10035	75085
1179	10044	75077
1180	10053	75070
1181	10061	75063
1182	10070	75056
1183	10079	75049
1184	10087	75041
1185	10096	75035
1186	10105	75026
1187	10114	75023
1188	10122	75015
1189	10131	75009
1190	10140	75004
1191	10149	74996
1192	10157	74987
1193	10166	74979
1194	10175	74973
1195	10184	74967
1196	10192	74961
1197	10201	74952
1198	10210	74944
1199	10218	74936
1200	10227	74930
1201	10236	74923
1202	10244	74915
1203	10253	74907
1204	10261	74899
1205	10270	74894
1206	10279	74887
1207	10288	74879
1208	10296	74872
1209	10305	74863
1210	10314	74856
1211	10322	74848
1212	10331	74840
1213	10339	74832
1214	10348	74823
1215	10357	74818
1216	10365	74810
1217	10374	74802
1218	10383	74794
1219	10391	74785
1220	10400	74779
1221	10409	74771
1222	10417	74761
1223	10425	74753
1224	10434	74742
1225	10443	74737
1226	10452	74733
1227	10460	74722
1228	10468	74713
1229	10477	74706
1230	10486	74697
1231	10494	74686
1232	10502	74674
1233	10510	74663
1234	10518	74653
1235	10528	74650
1236	10536	74640
1237	10544	74630
1238	10552	74620
1239	10561	74610
1240	10569	74601
1241	10577	74590
1242	10586	74580
1243	10594	74568
1244	10602	74557
1245	10611	74550
1246	10619	74538
1247	10627	74527
1248	10635	74517
1249	10643	74507
1250	10652	74499
1251	10661	74492
1252	10669	74480
1253	10677	74469
1254	10685	74458
1255	10694	74450
1256	10702	74440
1257	10710	74430
1258	10718	74418
1259	10727	74408
1260	10735	74398
1261	10743	74387
1262	10751	74375
1263	10759	74364
1264	10768	74354
1265	10776	74346
1266	10784	74335
1267	10793	74327
1268	10801	74320
1269	10810	74312
1270	10819	74307
1271	10828	74301
1272	10837	74294
1273	10845	74287
1274	10854	74279
1275	10863	74274
1276	10872	74266
1277	10881	74261
1278	10889	74252
1279	10898	74245
1280	10907	74240
1281	10916	74233
1282	10924	74225
1283	10933	74219
1284	10942	74212
1285	10951	74205
1286	10959	74198
1287	10968	74190
1288	10977	74183
1289	10986	74176
1290	10994	74171
1291	11003	74162
1292	11012	74154
1293	11020	74147
1294	11029	74140
1295	11038	74134
1296	11047	74127
1297	11055	74119
1298	11064	74112
1299	11073	74104
1300	11081	74098
1301	11090	74089
1302	11099	74081
1303	11109	74083
1304	11118	74077
1305	11127	74073
1306	11136	74067
1307	11144	74060
1308	11153	74053
1309	11162	74045
1310	11171	74040
1311	11179	74032
1312	11188	74026
1313	11197	74018
1314	11206	74010
1315	11215	74006
1316	11223	73998
1317	11232	73989
1318	11240	73982
1319	11249	73973
1320	11258	73967
1321	11266	73959
1322	11275	73951
1323	11284	73947
1324	11293	73939
1325	11302	73933
1326	11310	73925
1327	11319	73918
1328	11328	73910
1329	11336	73901
1330	11345	73894
1331	11354	73886
1332	11362	73878
1333	11371	73871
1334	11380	73864
1335	11389	73858
1336	11397	73850
1337	11406	73843
1338	11415	73836
1339	11424	73829
1340	11432	73824
1341	11441	73815
1342	11450	73807
1343	11458	73799
1344	11467	73791
1345	11476	73785
1346	11484	73777
1347	11493	73769
1348	11502	73761
1349	11510	73752
1350	11519	73746
1351	11528	73739
1352	11536	73729
1353	11545	73721
1354	11553	73713
1355	11562	73706
1356	11571	73698
1357	11579	73689
1358	11587	73680
1359	11596	73671
1360	11605	73663
1361	11613	73654
1362	11621	73645
1363	11630	73636
1364	11638	73626
1365	11647	73620
1366	11656	73612
1367	11664	73603
1368	11673	73595
1369	11681	73587
1370	11690	73579
1371	11698	73570
1372	11707	73562
1373	11716	73555
1374	11724	73546
1375	11733	73540
1376	11742	73531
1377	11750	73523
1378	11759	73514
1379	11767	73506
1380	11776	73500
1381	11785	73491
1382	11793	73482
1383	11802	73476
1384	11811	73469
1385	11820	73463
1386	11829	73456
1387	11837	73448
1388	11846	73440
1389	11855	73432
1390	11863	73426
1391	11872	73417
1392	11880	73408
1393	11889	73399
1394	11897	73390
1395	11906	73384
1396	11915	73375
1397	11923	73366
1398	11932	73358
1399	11940	73350
1400	11949	73345
1401	11958	73336
1402	11967	73329
1403	11975	73321
1404	11984	73313
1405	11993	73308
1406	12001	73299
1407	12010	73290
1408	12019	73284
1409	12027	73275
1410	12036	73269
1411	12045	73260
1412	12053	73252
1413	12062	73243
1414	12070	73235
1415	12079	73228
1416	12088	73220
1417	12096	73212
1418	12105	73207
1419	12114	73199
1420	12123	73193
1421	12132	73185
1422	12140	73176
1423	12149	73168
1424	12158	73162
1425	12167	73156
1426	12175	73147
1427	12184	73139
1428	12192	73130
1429	12201	73122
1430	12210	73115
1431	12218	73106
1432	12227	73097
1433	12235	73089
1434	12244	73080
1435	12253	73074
1436	12261	73066
1437	12270	73057
1438	12278	73047
1439	12286	73037
1440	12295	73031
1441	12304	73022
1442	12312	73013
1443	12320	73004
1444	12329	72995
1445	12338	72988
1446	12346	72978
1447	12355	72970
1448	12363	72961
1449	12372	72954
1450	12382	72953
1451	12390	72946
1452	12399	72937
1453	12407	72928
1454	12416	72920
1455	12425	72912
1456	12433	72903
1457	12442	72894
1458	12450	72885
1459	12458	72875
1460	12467	72869
1461	12476	72860
1462	12484	72852
1463	12493	72844
1464	12501	72834
1465	12510	72828
1466	12519	72819
1467	12527	72812
1468	12536	72803
1469	12544	72794
1470	12553	72787
1471	12562	72778
1472	12570	72769
1473	12579	72761
1474	12587	72752
1475	12596	72744
1476	12604	72735
1477	12613	72726
1478	12621	72717
1479	12630	72709
1480	12639	72702
1481	12647	72693
1482	12655	72683
1483	12664	72675
1484	12672	72666
1485	12682	72661
1486	12690	72653
1487	12699	72646
1488	12707	72637
1489	12716	72628
1490	12725	72622
1491	12733	72612
1492	12742	72604
1493	12750	72595
1494	12759	72586
1495	12767	72579
1496	12776	72570
1497	12784	72561
1498	12793	72551
1499	12801	72542
1500	12810	72536
1501	12819	72527
1502	12827	72519
1503	12836	72509
1504	12844	72500
1505	12853	72492
1506	12861	72483
1507	12869	72474
1508	12878	72464
1509	12886	72455
1510	12895	72447
1511	12903	72438
1512	12912	72431
1513	12921	72423
1514	12929	72415
1515	12938	72408
1516	12947	72400
1517	12955	72392
1518	12964	72383
1519	12973	72376
1520	12982	72369
1521	12990	72361
1522	12999	72353
1523	13007	72344
1524	13016	72337
1525	13025	72331
1526	13033	72322
1527	13042	72313
1528	13050	72304
1529	13059	72294
1530	13067	72286
1531	13076	72277
1532	13084	72268
1533	13093	72259
1534	13101	72250
1535	13110	72244
1536	13119	72235
1537	13127	72226
1538	13135	72217
1539	13144	72208
1540	13153	72201
1541	13161	72193
1542	13170	72183
1543	13178	72175
1544	13187	72165
1545	13195	72158
1546	13204	72149
1547	13212	72140
1548	13221	72131
1549	13229	72123
1550	13238	72116
1551	13246	72107
1552	13255	72099
1553	13264	72090
1554	13272	72081
1555	13281	72073
1556	13289	72064
1557	13298	72055
1558	13306	72046
1559	13314	72036
1560	13323	72029
1561	13332	72020
1562	13340	72011
1563	13349	72002
1564	13357	71993
1565	13366	71987
1566	13374	71978
1567	13383	71970
1568	13392	71962
1569	13400	71953
1570	13409	71946
1571	13417	71936
1572	13426	71927
1573	13434	71917
1574	13443	71909
1575	13451	71902
1576	13460	71893
1577	13468	71885
1578	13477	71875
1579	13485	71866
